20194070.807020877,-11166015.230201585,-12470912.65585107,34607271883296.367
-340914.87246976234,23297087.116100952,12423867.091002611,20934647.04214898
-19433522.316738445,7663844.303772675,16476934.662277179,21865108.396487616
-26165468.042051345,-5889845.944480481,1071598.3154974415,25796608.27698583
-17489621.063093178,-1064605.664169944,19916641.841132402,23592780.854237355
10435057.48056167,23849139.47418608,5428259.062571946,23226299.26440448
-10060326.816740515,21025788.816839546,-12758641.01145357,23159316.63851116
2226244.703991158,19977956.178623643,-17493790.79179528,25513773.581704073
-20095145.40592096,17238889.793728646,-2109540.800882698,21544212.049719095
15826134.096941505,16381515.584294247,13638835.32882905,24605614.98420395
