-55	-80	-75	-74	-74	0	-82	0	0	0	0	0	-86	-86	-87	-89	-92	0	0	0	0	0	0	0	0	0	0	-87	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	0	0	0	0	0	0	0	0	-94	0	0	0	5688	-782	-2342	28195	-4846	100	18	737	650	0	0	0	17	733	650	1603352339
-60	0	0	-76	-77	0	-82	0	0	0	0	0	-86	-86	-86	-90	-91	0	0	-78	0	0	0	0	0	0	-91	-86	0	-86	-92	0	0	0	0	0	0	0	0	0	-78	0	0	0	0	0	0	0	0	0	0	0	-94	-95	0	0	5688	-767	-2327	28210	-4860	104	19	737	650	-1	0	0	17	735	648	1603352340
-63	0	-80	-80	-79	0	0	0	0	0	0	0	-88	-88	-89	-84	-94	0	0	-77	0	0	0	0	0	0	0	-89	0	-89	0	0	0	0	0	0	0	0	0	0	-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5673	-767	-2335	28207	-4847	102	17	737	653	0	0	0	17	733	650	1603352342
-57	0	0	-74	-74	0	-84	0	0	0	0	0	-88	-87	-87	-86	-92	0	0	-72	0	-76	-77	-77	0	-75	0	-86	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5718	-782	-2350	28205	-4842	103	18	737	654	0	0	0	17	733	650	1603352344
-55	-71	-75	-73	-74	-82	-82	0	-82	-81	-82	0	-86	-86	-86	-89	-89	-93	-75	-72	0	0	0	0	0	0	0	-87	0	-86	0	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5733	-797	-2327	28206	-4843	104	18	737	653	0	0	0	17	733	650	1603352345
-56	0	-80	-80	-80	0	-83	0	0	0	0	0	-90	-89	-89	-87	-94	-93	0	-74	0	-77	-78	-77	0	-78	-88	-89	0	-89	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5823	-783	-2312	28204	-4839	104	18	737	654	0	0	0	17	733	651	1603352347
-57	0	-74	-74	-74	-84	-85	0	-85	-82	-82	-86	-86	-86	-88	-88	-91	0	0	0	0	0	0	-80	0	0	0	-86	0	-86	0	-91	0	0	0	0	0	0	0	0	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5763	-797	-2342	28203	-4836	107	18	737	654	-1	-1	-1	18	732	651	1603352348
-56	-73	-79	-80	-79	0	0	0	0	0	0	0	-89	-90	-90	-87	-92	-93	-77	-77	0	0	0	0	0	0	0	-90	0	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5718	-767	-2282	28203	-4838	107	18	737	654	-1	-1	-1	18	732	651	1603352350
-56	-73	-74	-74	-75	0	-84	0	0	0	0	0	-86	-85	-86	-87	-93	0	-72	-72	0	0	0	0	0	0	0	-87	0	-86	0	0	0	0	0	0	0	-81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5688	-767	-2312	28203	-4837	106	18	737	654	-1	-1	-1	18	732	651	1603352352
-61	-73	-76	-74	-73	-82	-83	0	-83	-81	-81	0	-85	-87	-86	-87	-90	0	-72	-72	0	0	0	0	0	0	0	-86	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5688	-782	-2312	28203	-4836	107	18	737	655	-1	-1	-1	18	732	651	1603352353
