-57	-70	-78	-77	-77	0	0	0	0	0	0	0	-86	-86	-86	-86	-94	0	-75	-75	0	0	0	0	0	0	0	-86	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-93	-94	-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5839	-1053	-2296	27898	-4896	115	20	740	645	0	0	0	19	739	643	1603352339
-53	-69	-76	-78	-77	0	-88	0	0	0	0	0	-88	-86	-86	-89	-94	-90	-69	-76	0	0	0	0	0	0	0	-86	0	-87	0	0	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-94	-93	-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5779	-1046	-2177	27901	-4905	117	20	741	644	0	0	0	20	740	642	1603352340
-52	-71	-78	-77	-76	0	0	0	0	0	0	0	-86	-87	-87	-85	-94	-90	-70	-70	0	0	0	0	0	0	0	-86	0	-86	0	0	0	-88	0	0	0	0	0	0	0	0	0	-86	0	0	-83	-83	0	0	0	-94	-94	-93	0	0	-83	0	0	0	0	0	0	0	0	0	-83	-84	5832	-1084	-2236	27896	-4893	117	20	742	646	0	0	0	20	739	644	1603352342
-50	-70	-77	-77	-78	-86	-85	0	-84	-85	-84	0	-86	-86	-87	-89	-93	-91	-76	-71	0	0	0	0	0	0	0	-86	0	-88	0	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-95	-93	-94	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	5734	-1068	-2192	27895	-4890	118	20	741	647	0	0	0	20	738	644	1603352344
-57	-69	-75	-76	-75	0	0	0	0	0	0	0	-80	-80	-80	-86	0	-92	-73	-72	0	-84	-86	-83	-86	-84	0	-79	0	-79	0	0	0	0	0	0	0	0	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5825	-1039	-2222	27895	-4890	118	21	742	647	0	0	0	20	738	644	1603352345
0	0	-77	-77	-76	0	-87	0	0	0	0	0	-86	-86	-86	-85	-94	-89	0	0	0	0	0	0	0	0	0	-85	0	-87	0	0	0	0	0	-96	0	0	0	0	0	0	0	-85	0	0	0	0	0	0	0	-94	-91	-92	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	5764	-1068	-2177	27892	-4883	120	20	741	648	-1	-1	-1	20	737	645	1603352347
-57	-70	-77	-77	-77	0	-86	0	-87	-88	-87	0	-86	-86	-87	-86	-92	-90	-69	-72	0	0	0	0	0	0	0	-87	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-95	0	-93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5764	-1068	-2169	27892	-4881	122	21	742	648	-1	-1	-1	20	737	645	1603352348
-56	-71	-76	-76	-76	0	-86	0	0	0	0	0	-79	-80	-79	-88	-92	-92	-73	-74	0	0	0	0	0	0	0	-79	-91	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5779	-1076	-2236	27891	-4880	122	20	742	648	-1	-1	-1	20	737	645	1603352350
0	-70	-76	-77	-77	0	-85	0	0	0	0	0	-87	-87	-86	-87	-93	-90	-72	-71	0	0	0	0	0	0	0	-88	0	-87	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-94	-93	-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5847	-1009	-2087	27892	-4882	123	20	741	648	-1	-1	-1	21	737	645	1603352352
0	-72	-76	-75	-77	-85	-86	0	-84	-84	-85	0	-80	-79	-80	-90	0	-95	-73	-72	0	0	0	0	0	0	0	-80	0	-80	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5795	-1046	-2147	27891	-4879	122	20	741	649	-1	-1	-1	21	737	646	1603352353
