-57	-75	-81	-80	-80	-82	-85	-80	-84	-85	-84	0	-88	-87	-88	-81	-94	0	-75	-74	0	0	0	0	0	0	0	-88	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5402	-1079	-2819	28555	-5094	60	8	765	618	-1	0	0	10	761	618	1603352339
0	-77	-79	-80	-80	0	0	0	0	0	0	0	-88	-89	-88	-82	0	0	-76	-74	0	0	0	-83	0	0	0	-88	0	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386	-1049	-2864	28577	-5100	63	11	764	620	0	0	0	10	761	617	1603352340
-59	-72	-82	-80	0	0	0	0	0	0	0	0	-82	-82	-82	-82	0	0	-71	-72	0	0	0	0	0	0	0	-82	0	-81	-89	-90	0	0	0	0	0	0	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386	-1049	-2834	28585	-5086	64	11	765	622	0	0	0	11	760	619	1603352342
-65	-69	-80	-79	-80	0	0	0	0	0	0	0	-88	-88	-88	-81	-92	0	0	0	0	0	0	0	0	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5402	-1041	-2872	28587	-5089	65	11	764	621	0	0	0	11	760	618	1603352344
-58	-75	-81	-80	-81	0	0	0	0	0	0	0	-88	-89	-88	-82	-95	0	-68	-69	0	-79	-78	-78	-79	-78	0	-88	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5424	-1064	-2834	28584	-5082	64	11	764	623	0	0	0	10	760	619	1603352345
-60	-73	-80	-81	-81	-84	-83	0	-83	-83	-83	0	-81	-81	-83	-81	0	0	-69	-74	0	0	0	0	0	0	0	-82	0	-83	0	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-84	0	0	0	0	0	0	0	0	0	0	0	0	0	5349	-1041	-2835	28582	-5080	65	11	764	623	0	0	0	11	759	619	1603352347
-59	-76	-81	-81	-81	0	-85	0	0	0	0	0	-88	-88	-87	-81	0	0	-78	-78	0	-77	-76	0	-75	-76	0	-88	0	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5341	-1034	-2835	28582	-5079	66	11	764	622	-1	-1	0	11	759	619	1603352348
-60	0	-80	-80	-80	0	-85	0	0	0	0	0	-88	-87	-88	-82	0	0	0	-79	0	0	0	0	0	0	0	-88	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386	-1034	-2819	28581	-5078	67	11	764	623	-1	-1	0	11	759	620	1603352350
-61	-79	-81	-80	-81	0	0	0	0	0	0	0	-89	-89	-88	-79	-90	0	-73	-79	0	0	0	0	0	-76	0	-89	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5402	-1072	-2819	28581	-5077	68	11	764	623	-1	-1	0	11	759	620	1603352352
-60	-71	-82	-81	-81	0	-84	0	0	0	0	0	-87	-88	-89	-81	-93	0	-71	-72	0	0	0	0	0	0	0	-88	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5357	-1071	-2834	28582	-5081	69	11	764	622	-1	-1	0	11	759	619	1603352353
-59	-71	-80	-81	-79	0	-85	0	0	0	0	0	-89	-89	-88	-82	-91	0	-78	-72	0	0	0	0	0	0	0	-87	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5447	-1004	-2805	28581	-5078	68	11	764	623	-1	-1	0	11	759	620	1603352355
