-59	-73	-76	-76	-76	-79	-80	-80	-80	-81	-81	-83	-90	-90	-91	-92	-93	-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5717	-826	-2655	28389	-4995	62	8	755	630	-1	-1	0	10	750	631	1603352339
0	-68	-76	-76	-77	0	-82	0	0	0	0	0	-92	-91	-91	-93	-92	0	-68	-73	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5672	-886	-2625	28394	-5007	57	9	755	631	-1	-1	0	9	751	629	1603352340
-56	-73	-79	-77	-78	0	0	0	0	0	0	-83	-86	-86	-86	0	-94	0	-68	-72	-86	-82	-82	-83	-85	-85	-86	-86	-87	-88	-89	-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5658	-886	-2551	28390	-4997	58	9	755	632	-1	-1	0	10	750	630	1603352342
-58	-67	-78	-78	-76	0	0	0	0	0	0	0	0	0	0	-89	0	0	-71	-71	0	0	0	-77	0	0	0	0	0	0	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5642	-878	-2611	28388	-4992	58	9	754	634	-1	-1	0	10	750	631	1603352344
-56	0	-79	0	-79	0	-84	0	0	0	0	0	-86	-87	-86	-93	-95	0	-69	-71	0	0	0	-77	0	0	0	-86	0	-86	0	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	-856	-2573	28386	-4988	60	9	754	634	-1	-1	0	10	749	632	1603352345
-60	-71	-79	-79	-80	-83	-84	0	-83	-81	-83	-84	-85	-85	-86	-92	0	0	-71	-70	-87	0	0	0	0	0	0	-86	0	-86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	-886	-2588	28388	-4992	59	9	755	634	-1	-1	0	10	750	631	1603352347
-62	-69	-77	-77	-78	0	0	0	0	0	0	0	0	-92	-91	-89	-92	0	-70	-70	0	-74	-73	-72	-74	-70	-85	0	0	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	-886	-2670	28388	-4991	56	9	754	635	-1	-1	0	9	750	631	1603352348
-60	0	-78	-79	-78	0	-85	0	0	0	0	0	-85	-86	-85	-91	0	0	-71	-70	-85	0	0	0	0	0	-87	-86	-90	-86	-92	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5658	-954	-2535	28387	-4990	55	9	755	635	-1	-1	0	9	750	631	1603352350
-59	0	-79	-77	-78	0	-82	0	0	0	0	-85	-94	-93	-94	-93	-94	0	-70	-71	-86	0	0	0	0	0	-94	0	-90	0	0	0	0	0	-92	-95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5642	-901	-2566	28388	-4991	56	9	754	635	-1	-1	0	9	750	631	1603352352
-60	0	-79	-79	-79	0	-81	0	0	0	0	-85	-85	-85	-86	-91	-94	0	-71	-71	-88	0	0	0	0	0	0	-86	0	-85	0	0	0	0	0	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5657	-916	-2618	28387	-4989	56	9	755	635	-1	-1	0	9	749	631	1603352353
