-44	-52	-47	-49	-58	-58	-71	-71	-76	-72	-74	-76	-76	-67	0	-84	0	-86	-86	-87	0	-85	-86	-87	0	0	-89	-92	0	0	0	-92	0	-56	0	0	0	0	0	0	0	0	0	0	0	0	-88	0	0	-89	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4434	-2057	819	25414	-7767	-178	-31	972	201	-1	0	-1	-31	957	209	1606974583
-44	-51	-40	-53	-61	-64	-69	-71	-78	0	-78	-79	-77	-68	0	-85	0	-84	-84	-85	0	0	-84	-84	0	0	0	0	0	0	0	0	0	-62	0	0	0	0	0	0	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4442	-2072	871	25390	-7781	-179	-31	970	212	0	0	0	-31	958	207	1606974585
-42	-46	-43	-53	-56	0	-64	-62	-68	-72	-67	-67	-72	-63	0	0	0	-82	-82	-81	0	0	-82	-82	0	0	-86	-92	-92	0	0	-92	0	-60	0	0	0	0	0	0	0	0	0	0	0	0	-89	-84	0	0	-88	0	0	0	0	0	0	0	-75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4434	-2072	811	25389	-7770	-179	-33	970	212	0	0	-1	-31	957	208	1606974586
-42	-47	-43	0	-59	-54	0	0	-68	-72	-68	-67	-72	0	0	-81	-83	-81	-81	-82	-82	-83	-82	-82	-83	-83	-87	-94	-93	0	0	-90	0	-58	-58	0	0	0	0	0	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	0	4525	-2088	856	25386	-7763	-180	-31	970	213	0	0	-1	-31	957	209	1606974588
-42	-57	-42	-50	0	-67	-65	-64	-74	-71	-75	-75	-75	-64	0	-83	-83	-84	-85	-84	0	-82	-84	-84	-83	-84	-89	-94	-92	0	0	-94	0	-64	0	0	0	0	-93	0	0	0	0	0	0	0	0	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4464	-2095	804	25386	-7763	-178	-31	971	213	0	0	0	-31	957	210	1606974589
-42	-47	-43	-51	-61	-67	-63	-65	-75	-70	-76	-76	-74	-63	0	-82	0	-84	-85	-85	0	-84	-84	-84	0	0	-92	-93	-92	0	0	-92	0	-64	-59	0	0	0	-93	0	0	0	0	0	0	0	-89	0	0	0	-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4524	-2035	811	25385	-7760	-179	-31	970	213	0	0	-1	-31	957	210	1606974591
-60	-48	-45	-50	-60	-67	-65	-66	-74	-71	-75	-74	-74	-65	0	-84	0	-85	-85	-85	0	-85	-84	-85	0	0	-89	-91	-90	0	0	-90	0	-63	0	0	0	0	-93	0	0	0	0	0	0	0	-88	0	0	0	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4464	-2042	826	25385	-7759	-179	-32	970	213	-1	-1	-1	-31	957	210	1606974592
-52	-61	-43	-51	-58	-68	-65	-67	-74	0	-74	-75	-75	-65	0	-84	0	-84	-84	-85	0	-85	-84	-84	0	0	-90	-91	-90	0	0	0	-93	-64	0	0	0	0	-93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4434	-2072	826	25384	-7758	-178	-31	969	212	-1	-1	-1	-31	957	210	1606974594
-42	-50	-42	-52	-58	-55	-67	-64	-67	-71	-68	-68	-73	-67	0	-82	0	-82	-82	-82	0	-85	-82	-82	0	0	-89	-91	-91	0	0	-92	-91	-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-90	0	0	0	-91	0	0	0	0	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4495	-2042	826	25384	-7756	-178	-31	970	213	-1	-1	0	-31	957	211	1606974596
-42	-50	-42	-52	-58	-67	-66	-67	-75	0	-75	-74	-74	-66	0	-84	-85	-85	-84	-84	-85	-84	-85	-84	-85	-84	-91	-91	-91	0	0	-92	-92	-63	-58	0	0	0	-93	0	0	0	0	0	-87	-86	-88	0	-87	0	-88	-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4495	-2110	811	25384	-7756	-177	-31	969	213	-1	-1	-1	-31	957	211	1606974597
