-59	-50	0	-62	-57	0	-72	0	-70	0	-72	-70	-74	-77	0	-83	0	-89	-88	-87	0	0	-87	-86	0	0	-88	-88	-87	0	-88	-87	-87	-54	-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-87	0	0	-86	-87	0	0	-84	0	-71	0	0	-84	0	-85	-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-54	0	0	0	0	0	0	3700	-3504	2786	22595	-7771	-233	-40	969	212	0	0	0	-40	957	208	1606974583
-56	-49	0	-60	-63	-67	-74	0	-71	-81	-69	-70	-74	-72	0	0	-84	-87	-88	-87	-84	0	-87	-88	0	-85	0	-89	-89	0	-88	-88	-88	-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-59	0	0	0	0	0	0	3647	-3534	2756	22598	-7777	-231	-40	969	210	0	0	0	-40	957	207	1606974585
-62	0	-54	-58	-57	0	0	0	-69	0	-69	-69	-73	0	0	-83	-75	-90	-88	-87	-74	-76	-88	-88	-75	-75	-88	-89	-89	0	-88	-88	-87	-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-86	0	0	-86	-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	0	0	0	0	0	0	3700	-3504	2711	22593	-7763	-232	-40	969	213	0	0	0	-40	957	209	1606974586
-58	-50	-54	-63	-62	0	-69	-69	-75	-73	-75	-76	-78	-70	0	-84	0	-90	-92	-91	0	0	-90	-91	0	0	-78	-88	-87	0	-88	-88	-88	-64	0	0	0	0	-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-58	0	0	0	0	0	0	3693	-3504	2741	22590	-7755	-231	-40	969	214	0	0	0	-40	956	211	1606974588
-57	-49	-49	0	-57	0	0	0	-75	0	-74	-75	-79	0	0	-83	0	-94	-93	0	0	-77	0	-92	0	0	-87	-88	-88	0	-87	-88	-88	-59	0	0	0	0	-91	0	0	0	0	0	0	0	0	-84	0	0	0	-91	0	0	0	0	-82	0	0	0	0	-83	0	-84	-83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-59	0	0	0	-92	0	0	3693	-3549	2741	22587	-7749	-231	-40	968	215	0	0	0	-40	956	212	1606974589
-58	-49	-53	0	-64	0	0	0	-75	0	-77	-75	-79	0	0	-84	0	-90	-91	-92	0	0	0	-91	0	0	-89	-88	-89	0	-87	-90	-88	-58	-70	0	0	0	-89	0	0	0	0	0	0	0	0	0	0	-84	0	0	0	-84	0	0	-82	0	0	0	0	-86	0	-83	-83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-60	0	0	0	0	0	0	3707	-3436	2696	22587	-7748	-231	-40	969	215	0	0	0	-40	956	212	1606974591
-60	-56	-56	-60	0	0	-70	-70	-69	-79	-69	-70	-75	0	0	-84	0	-89	-89	-88	0	-77	-89	-87	0	0	-88	-88	-88	0	-88	-88	-89	-53	-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-91	0	0	0	0	-84	0	0	0	0	-84	0	-85	-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-59	0	0	0	0	0	0	3707	-3496	2733	22588	-7749	-230	-40	968	214	-1	-1	-1	-40	956	212	1606974592
-58	-49	-57	-63	-67	-67	-69	-75	-70	0	-69	-69	-74	-76	0	-86	0	-88	-89	-88	0	0	-88	-88	0	0	-90	-88	-87	0	-88	-87	-88	-52	0	0	0	0	-93	0	0	0	0	0	0	0	0	-87	0	0	0	0	0	0	0	0	-84	0	0	0	0	-83	0	-84	-82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-62	0	0	0	0	0	0	3693	-3519	2756	22587	-7746	-230	-40	968	215	-1	-1	0	-40	956	212	1606974594
0	-56	-54	0	-67	0	-68	-69	-69	0	-70	-70	-74	-66	0	-80	-77	-88	-87	-88	-76	-77	-88	-87	-79	-77	0	-86	-88	0	-87	-88	-88	-53	0	0	0	0	-93	0	0	0	0	0	0	0	0	-86	0	0	0	0	0	-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-57	0	0	0	0	0	0	3693	-3519	2741	22587	-7746	-230	-40	969	214	-1	-1	-1	-40	956	212	1606974596
-60	-54	-54	-61	0	0	-77	-70	-71	-75	-70	-71	-74	0	0	-84	0	-88	-88	-88	0	-77	-87	-88	0	0	0	-88	-87	0	-88	-89	-88	-52	0	0	0	0	0	0	0	0	0	0	0	0	0	-86	0	-84	0	0	-85	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-94	0	0	0	0	0	0	0	0	0	0	0	0	-60	0	0	0	0	0	0	3692	-3489	2726	22588	-7749	-230	-40	968	214	-1	-1	-1	-40	956	212	1606974597
